iter	Passed	Remaining
0	111	167418
1	228	171299
2	332	165932
3	426	159679
4	529	158427
5	638	159087
6	741	158118
7	836	155925
8	939	155670
9	1044	155660
10	1135	153732
11	1236	153357
12	1336	152830
13	1452	154133
14	1560	154459
15	1669	154891
16	1776	155014
17	1868	153803
18	1981	154446
19	2080	153928
20	2175	153226
21	2277	153024
22	2365	151908
23	2460	151342
24	2561	151122
25	2657	150671
26	2753	150239
27	2846	149621
28	2933	148791
29	3041	149014
30	3155	149516
31	3264	149759
32	3352	149036
33	3443	148459
34	3548	148534
35	3638	147974
36	3732	147603
37	3846	147978
38	3943	147729
39	4039	147448
40	4133	147102
41	4237	147102
42	4337	146980
43	4428	146537
44	4528	146424
45	4617	145940
46	4718	145862
47	4813	145611
48	4905	145276
49	5022	145651
50	5119	145440
51	5213	145182
52	5308	144937
53	5404	144724
54	5507	144705
55	5599	144380
56	5703	144399
57	5800	144224
58	5902	144149
59	6008	144193
60	6104	144017
61	6199	143799
62	6308	143887
63	6392	143432
64	6496	143423
65	6602	143464
66	6690	143090
67	6790	142995
68	6886	142826
69	6986	142732
70	7095	142805
71	7194	142690
72	7279	142293
73	7378	142191
74	7479	142105
75	7574	141920
76	7687	142068
77	7786	141955
78	7873	141619
79	7976	141574
80	8071	141393
81	8160	141115
82	8268	141166
83	8359	140918
84	8445	140591
85	8534	140328
86	8628	140135
87	8727	140036
88	8827	139944
89	8938	140030
90	9044	140039
91	9146	139986
92	9234	139702
93	9334	139614
94	9420	139329
95	9517	139192
96	9601	138881
97	9680	138492
98	9778	138373
99	9865	138122
100	9975	138170
101	10083	138205
102	10170	137944
103	10260	137725
104	10361	137660
105	10454	137481
106	10553	137394
107	10657	137359
108	10760	137325
109	10859	137223
110	10976	137360
111	11068	137171
112	11178	137208
113	11279	137135
114	11381	137075
115	11469	136842
116	11566	136716
117	11653	136486
118	11747	136324
119	11836	136122
120	11931	135983
121	12031	135891
122	12123	135727
123	12226	135673
124	12326	135593
125	12424	135487
126	12522	135375
127	12615	135222
128	12701	134994
129	12804	134939
130	12893	134746
131	12988	134605
132	13091	134557
133	13185	134410
134	13277	134254
135	13382	134220
136	13467	133989
137	13566	133891
138	13658	133732
139	13753	133604
140	13858	133577
141	13956	133472
142	14049	133326
143	14142	133179
144	14226	132946
145	14326	132863
146	14408	132621
147	14504	132501
148	14594	132332
